,fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
0,2013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,4.281005180016268,,4.18465838066,1.2539370625600004,,,,3,4,1,4,3,4,4,364,3.0,,,,,,,,,,,,0,,1152.0,984.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.3452735151333533,0.2948756367995205,0.0,
1,2016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.0294,other,12.678127694102134,,0.86553317737,1.0841836300799998,inf,,,2,0,2,4,0,4,4,691,0.0,,,,0.0,,,,0.0,,,,1,,1866.0,1594.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.3312804827831026,0.28292509762158324,0.0,
2,2020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.0178,other,12.450396825396824,,0.8528564590459999,0.22193684020400006,0.1002785514483904,,0.922005571052366,2,0,2,4,0,0,3,30043,171.0,,,,1149.0,449.0,14.0,0.66,51.0,47.0,2.0,0.71,79,,130548.0,111493.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.4532934965277777,0.38712847222222224,0.0,
3,2050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.0026,other,3.884943512921322,,0.630672190307,0.963307838083,inf,,,1,0,1,4,0,4,4,3874,21.0,,,,37.0,,,0.4,0.0,,,,0,,9087.0,7761.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.4942592467094528,0.4221146524529533,0.0,
4,2060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,102.52904989747095,,0.701884873144,1.0100047038859996,,,,5,4,5,4,0,4,4,582,3.0,,,,,,,,,,,,0,,507.0,433.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,0.6064653516746411,0.5179425837320574,0.0,
5,2068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.0962,other,13.62490632876899,,,,,,,2,1,2,4,4,4,4,101,0.0,,,,,,,,,,,,0,,867.0,741.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.4137558550309965,0.35336194563662376,0.0,
6,2070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.0076,other,0.0,,,,inf,,,0,0,0,4,4,4,4,228,2.0,,,,18.0,,,0.15,0.0,,,,0,,1908.0,1630.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.3882398454027665,0.33157038242473563,0.0,
7,2090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.0845,other,47.34911342103982,,1.21238898806,0.20952956493,0.17982018041958045,,0.6263736261538462,3,1,3,4,2,0,0,7653,37.0,,,,175.0,55.0,9.0,0.46,13.0,8.0,1.0,0.66,86,,33345.0,28478.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.3443013453933442,0.294045369595969,0.0,
8,2100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,5.646527385657821,,,,,,,1,4,1,4,4,4,4,28,0.0,,,,,,,,,,,,0,,1559.0,1332.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.6164645098814229,0.5264822134387351,0.0,
9,2105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0.0,,,,,,,,,,,,0,,1303.0,1113.0,2021-05-04,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.6067157402234636,0.5181564245810056,0.0,
